timestamp,timerfc,device,GPU use (),GPU Memory Allocated (VRAM),GPU Memory Read/Write Activity (),Memory Activity,Avg. Memory Bandwidth
1763074627,2025-11-13 16:57:07-06:00,card0,0,0,0,N/A,0
1763074628,2025-11-13 16:57:08-06:00,card0,0,0,0,N/A,0
1763074629,2025-11-13 16:57:09-06:00,card0,0,0,0,N/A,0
1763074630,2025-11-13 16:57:10-06:00,card0,0,0,0,N/A,0
1763074631,2025-11-13 16:57:11-06:00,card0,0,0,0,N/A,0
1763074633,2025-11-13 16:57:13-06:00,card0,0,0,0,N/A,0
1763074634,2025-11-13 16:57:14-06:00,card0,0,0,0,N/A,0
1763074635,2025-11-13 16:57:15-06:00,card0,0,0,0,N/A,0
1763074636,2025-11-13 16:57:16-06:00,card0,0,0,0,N/A,0
1763074637,2025-11-13 16:57:17-06:00,card0,0,0,0,N/A,0
1763074638,2025-11-13 16:57:18-06:00,card0,0,0,0,N/A,0
1763074639,2025-11-13 16:57:19-06:00,card0,0,0,0,N/A,0
1763074640,2025-11-13 16:57:20-06:00,card0,0,0,0,N/A,0
1763074641,2025-11-13 16:57:21-06:00,card0,0,0,0,N/A,0
1763074642,2025-11-13 16:57:22-06:00,card0,0,0,0,N/A,0
1763074644,2025-11-13 16:57:24-06:00,card0,0,0,0,N/A,0
1763074645,2025-11-13 16:57:25-06:00,card0,0,0,0,N/A,0
1763074646,2025-11-13 16:57:26-06:00,card0,0,0,0,N/A,0
1763074647,2025-11-13 16:57:27-06:00,card0,0,0,0,N/A,0
1763074648,2025-11-13 16:57:28-06:00,card0,0,0,0,N/A,0
1763074649,2025-11-13 16:57:29-06:00,card0,0,0,0,N/A,0
1763074650,2025-11-13 16:57:30-06:00,card0,0,0,0,N/A,0
1763074651,2025-11-13 16:57:31-06:00,card0,0,0,0,N/A,0
1763074652,2025-11-13 16:57:32-06:00,card0,0,0,0,N/A,0
1763074653,2025-11-13 16:57:33-06:00,card0,0,0,0,N/A,0
1763074655,2025-11-13 16:57:35-06:00,card0,0,0,0,N/A,0
1763074656,2025-11-13 16:57:36-06:00,card0,0,0,0,N/A,0
1763074657,2025-11-13 16:57:37-06:00,card0,0,0,0,N/A,0
1763074658,2025-11-13 16:57:38-06:00,card0,0,0,0,N/A,0
1763074659,2025-11-13 16:57:39-06:00,card0,0,0,0,N/A,0
1763074660,2025-11-13 16:57:40-06:00,card0,0,0,0,N/A,0
1763074661,2025-11-13 16:57:41-06:00,card0,0,0,0,N/A,0
1763074662,2025-11-13 16:57:42-06:00,card0,0,0,0,N/A,0
1763074663,2025-11-13 16:57:43-06:00,card0,0,0,0,N/A,0
1763074664,2025-11-13 16:57:44-06:00,card0,0,0,0,N/A,0
