timestamp,timerfc,device,GPU use (),GPU Memory Allocated (VRAM),GPU Memory Read/Write Activity (),Memory Activity,Avg. Memory Bandwidth
1763071570,,card0,14,2,0,N/A,0
1763071571,,card0,7,2,0,N/A,0
1763071572,,card0,24,2,1,N/A,0
1763071573,,card0,47,2,0,N/A,0
1763071574,,card0,10,2,0,N/A,0
1763071576,,card0,10,2,0,N/A,0
1763071577,,card0,15,2,0,N/A,0
1763071578,,card0,28,2,0,N/A,0
1763071579,,card0,36,2,0,N/A,0
1763071580,,card0,73,2,0,N/A,0
1763071581,,card0,0,2,0,N/A,0
1763071582,,card0,0,2,0,N/A,0
1763071583,,card0,20,2,0,N/A,0
1763071584,,card0,26,2,1,N/A,0
1763071586,,card0,34,2,0,N/A,0
1763071587,,card0,36,2,1,N/A,0
1763071588,,card0,46,2,2,N/A,0
1763071589,,card0,15,2,0,N/A,0
1763071590,,card0,49,2,0,N/A,0
1763071591,,card0,56,2,2,N/A,0
1763071592,,card0,68,2,3,N/A,0
1763071593,,card0,68,2,0,N/A,0
1763071595,,card0,6,2,0,N/A,0
1763071596,,card0,10,2,0,N/A,0
1763071597,,card0,0,2,0,N/A,0
1763071598,,card0,24,2,0,N/A,0
1763071599,,card0,30,2,0,N/A,0
1763071600,,card0,61,2,1,N/A,0
1763071601,,card0,46,2,1,N/A,0
1763071602,,card0,50,2,0,N/A,0
1763071604,,card0,6,2,0,N/A,0
1763071605,,card0,0,2,0,N/A,0
1763071606,,card0,0,2,0,N/A,0
1763071607,,card0,10,2,0,N/A,0
1763071608,,card0,22,2,1,N/A,0
1763071609,,card0,1,2,0,N/A,0
1763071610,,card0,3,2,0,N/A,0
1763071611,,card0,0,2,0,N/A,0
1763071612,,card0,9,2,0,N/A,0
1763071614,,card0,17,2,0,N/A,0
1763071615,,card0,40,2,0,N/A,0
1763071616,,card0,0,2,0,N/A,0
1763071617,,card0,26,2,0,N/A,0
1763071618,,card0,3,2,0,N/A,0
1763071619,,card0,46,2,2,N/A,0
1763071620,,card0,59,2,3,N/A,0
1763071621,,card0,59,2,0,N/A,0
1763071623,,card0,74,2,1,N/A,0
1763071624,,card0,61,2,1,N/A,0
1763071625,,card0,65,2,0,N/A,0
1763071626,,card0,19,2,0,N/A,0
1763071627,,card0,16,2,0,N/A,0
1763071628,,card0,11,2,0,N/A,0
1763071629,,card0,26,2,0,N/A,0
1763071630,,card0,20,2,0,N/A,0
1763071631,,card0,61,2,0,N/A,0
1763071633,,card0,25,2,2,N/A,0
1763071634,,card0,0,2,0,N/A,0
1763071635,,card0,33,2,0,N/A,0
1763071636,,card0,60,2,0,N/A,0
1763071637,,card0,40,2,0,N/A,0
1763071638,,card0,41,2,0,N/A,0
1763071639,,card0,45,2,0,N/A,0
1763071641,,card0,68,2,0,N/A,0
1763071642,,card0,4,2,0,N/A,0
1763071643,,card0,0,2,0,N/A,0
1763071644,,card0,23,2,1,N/A,0
1763071645,,card0,3,2,0,N/A,0
1763071646,,card0,13,2,0,N/A,0
1763071647,,card0,0,2,0,N/A,0
1763071648,,card0,0,2,0,N/A,0
1763071649,,card0,12,2,0,N/A,0
1763071651,,card0,21,2,0,N/A,0
1763071652,,card0,13,2,0,N/A,0
1763071653,,card0,12,2,0,N/A,0
1763071654,,card0,10,2,0,N/A,0
1763071655,,card0,19,2,0,N/A,0
1763071656,,card0,4,2,0,N/A,0
1763071657,,card0,26,2,4,N/A,0
1763071658,,card0,24,2,0,N/A,0
1763071659,,card0,18,2,0,N/A,0
1763071661,,card0,6,2,0,N/A,0
1763071662,,card0,10,2,0,N/A,0
1763071663,,card0,39,2,1,N/A,0
1763071664,,card0,20,2,0,N/A,0
1763071665,,card0,36,2,0,N/A,0
1763071666,,card0,65,2,3,N/A,0
1763071667,,card0,14,2,0,N/A,0
1763071668,,card0,34,2,0,N/A,0
1763071670,,card0,59,2,0,N/A,0
1763071671,,card0,20,2,1,N/A,0
